SlNo,Product ID,Product Name,Description,Quantity, ,Weight ,Dimension,Length,Width,Height,image_url,Producttype,Material,Brand,Price,SKU,QR code,Bin Number,Location
1,,,,,,,,,,,,,,,,SKU-GLAMUBBLK,,,
2,,,,,,,,,,,,,,,,,,,
